role,skills,education,experience_type
intern,"10key by touch, articles, automation, closing, coaching, customer service, customer support, designing, direction, forklift and crane certification, hand tools, hardware, inventory, iso 9001, law enforcement, leadership, machinery, material management, materials, mechanical, mechanical test equipment, mechanical theory, ms office, ndt level ii, oral, pc's, personnel, pneumatic and hydraulic theory, processes, procurement, programming, progress, quality, quality control, receiving, repairing, repairs, research, robotic systems, safety, scheduling, self-motivation, shipping, simulation, supervisor, test equipment, troubleshooting, written","General Courses, Technical Diploma",experienced
executive - vat,"base sas, business analysis, credit risk, data analysis, data science, data visualization, machine learning, nlp, power bi, python, r, regression analysis, sql, statistical analysis, tableau, time series analysis","B.CA, M.CA",experienced
mechanical engineer,"algorithm design, css, data analysis, git, html, interpersonal communication, javascript (angular), patience, python, technical writing","Master of Science, Bachelor of Science",experienced
intern,"business intelligence, data analytics, data manipulation, data mining, data modeling, data reporting, data validation, econometrics, ifrs, machine learning, oracle, problem solving, r programming, scorecard, sql","B.A (Economics), MSc (Economics)",experienced
management trainee - mechanical,"application support, c, c++, css, deep learning, docker, hive, html, javascript, machine learning, python, requirement gathering, risk assessment, software development",B.Tech,experienced
machine learning (ml) engineer,"2000, api, approach, atl, audio, backup, broadcast, c#, c++, ca, cli, clients, com, concept, content, documentation, drawing, dynamic html5, editing, explorer, ftp, functional, gui, hardware, http, ids, innovation, ip, javascript, json, lan, mb, mfc, migration, nas, office, oop, page, proxy, rendering, san, scrum, servers, specification, team management, threads, troubleshoot, video, video editing, visual c++, win, windows, workflow, writer, xml","M.S, B.E",experienced
ai engineer,"artificial intelligence, data modeling, data validation, data visualization, deep learning, machine learning, matplotlib, method development, mongodb, mysql, plotly, python, seaborn",B.Tech,experienced
hr,"artificial intelligence, backend, c, c++, deep learning, docker, java, jenkins, kubernetes, linear regression, machine learning, python, sap, software engineering",B.Tech,experienced
devops engineer,".ney(vb, analytical process improvement, asp), c++, css, data & network management, javascript, python, risk assessment & tracking, scrum & agile, visual basic, visual foxpro",Bachelor of Science,experienced
marketing,"2008-2010, algorithms, analytical and logical, apple, apple lion, asp.net, budget management, business objects, c++, calculator, calm under pressure, change management, client, coach, complex problem solving, computersavvy, continuous improvement, css, customer relations, customer service, dmaic, documentation, facilities management, financial reporting, fmea, gui, hr, html, human resource management, interpersonal skills, inventory, inventory control, inventory levels, java, java 1, java 2, java script, keynote, leadership skills, lean manufacturing, lean manufacturing and management, maintain records, managing, manufacturing process, materials, microsoft access, microsoft access 2010, microsoft office, microsoft office 2003-2011, microsoft project, microsoft visio, motivational, netbeans, numbers, operations management, out of the box thinking, pages, personnel, pfd, policies, policy, powersteering, problem-solving skills, processes, program development, project management, purchasing, quality, rcm, re-engineering, repairs, reporting, safety, sap, six sigma, six sigma certified, six sigma tools and methodologies, software engineering, software training, sound judgment, sql server, sql server 2008, strong leadership skills, supervision, supervision and training, supply chain, supply chain management, tango, textpad, user support, vb.net, visual studio, visual studio 2008-2010, water treatment, web design 1, web design 2, websites, works","B.S, M.S, B.S.I.T",experienced
senior ios engineer,"data analytics, machine learning, natural language processing, nltk, production analytics, production engineering, python, tableau",B.Tech,experienced
executive/ sr. executive -it,"java, julia, latex, linux, mac osx, matlab, python, r, unix shell scripting (bash), weka, windows","PhD, M.S., B.S.",experienced
"system administrator (operation & maintenance of server, storage & service desk system)","aws, azure, c++, heroku, machine learning engineer, natural language processing, oracledb, python, sap, sql, tableau, technical documentation",B.Tech,experienced
ai engineer,"business analysis, data analysis, machine learning, natural language processing, numerical analysis, regression analysis, statistical analysis","BSc, MSc",experienced
executive - vat,"bert, big data, data scientist, hive, machine learning, matplotlib, natural language processing, pandas, pyspark, python, scala, scikit learn, sql, transformers",B.tech,experienced
data_analyst,"basic knowledge of microsoft powerpoint and excel, cpr & first aid certified, proficient in microsoft word",Bachelor of Science,experienced
ai engineer,"accounts receivable, aia, bank reconciliation, billing, billings, budgets, cash flow, clients, consultant, contracts, controller, daily cash receipts, excel, express, financial, financial reports, financial statements, forms, general ledger, general ledger accounts, government, insurance, meetings, microsoft office applications, office, pivot tables, powerpoint, presentations, prime, progress, proposals, reporting, spreadsheet, tax, timberline","M.B.A, B.A",experienced
management trainee - mechanical,"administrative support, ap, blueprint understanding, critical thinking, document control, doors, engineer, engineering operational functions, forms, functional, leadership, machinery, manufacturing systems integration, navy, oil, organizational, pearl, personnel, personnel management, pick, problem solving, progress, project management, project support, proposals, quality assurance, repairs, reporting, requirement, senior management, sharepoint, switches, team management, technical review, time management, troubles","GED, A-651-0118, Engineering Common Core, A-651-0120, Engineering Mechanical, A-652-0298, Gas Turbine Mechanical/Electrical A School, A-651-0119, Engineering Electrical, A-652-0240, SHIPBD GAGE CAL, A-495-0018, SHIPBOARD FIREFIGHTING, A-652-0188, Waste Heat Boilers, A-012-0077, Class Facilitator Instructional Delivery Continuum, G-651-0613, MACHINERY CONTROL SYSTEM, J-500-0029, Marine Maintenance And Ship Repair 3-M System Coordinator/Inspector",experienced
executive/ sr. executive -it,"business analysis, deep learning, django, flask, hive, kafka, machine learning, microsoft azure, neural networks, postgresql, python","B.Tech, MSc",experienced
intern,"agile methodologies, architect end to end, build teams, c, c++, control systems, develop products in consumer electronics, device drivers, digital tv, dvb, embedded linux, h.264, hardware, hls, industrial automation, integrating content protection systems, interface with customers and vendors, java, json, jvm, lead development, leadership, lxc, mathematical modeling, matlab, mentor, microcontrollers, mp4, mpeg, octave, project planning and management, rest, rtos - os9, scrum, sdlc, snmp, soap, socs, tr069, vxworks, xml","M.Tech, B.E, Course",experienced
software_engineer,"administration of windows 2000 server, asp, c, digital logic, eclipse, embedded systems, installation and configuration of peripherals, java, jvs, linux, manual testing, mips assembler, ms office suite, ms project, ms visio, object-oriented programming, pl, remedy, robotics, sql, sql navigator, technical report writing, troubleshooting hardware, unix, unix shell scripts, vbs, verilog hardware language, vista, windows xp",Honours Bachelor of Science,experienced
mechanical engineer,"5 why, 8d, anatomy, ansys, apqp, autocad, benchmarking, c, catia, cnc engineering, cost analysis, development, dvp&r, fmea, gd&t, kaizen, kanban, kpi's, lean manufacturing, manufacturing process, microsoft office, minitab, packaging, ppap, process engineering, product development, product project management, programming, qcc, r, reliability sae standards, surveys, toyota production systems, validation, vehicle ergonomics, welding","Master of Science, Bachelor of Engineering",experienced
data_analyst,"ansys, c, catia, latex, microsoft office, microsoft project, python, r, solidworks, stk","High School Diploma, Bachelor of Science, BE Bachelor of Engineering (Honours) (Aerospace)",experienced
data_analyst,"advertising, competitive, content, contracts, customer satisfaction, customer service, customer support, fashion, fast, functional, market, marketing, marketing material, marketing strategies, networking, payroll, phone, progress, promotion, quality, sales, script, selling, strategic, telephone, training manuals",High School Diploma,experienced
civil engineer,"algorithm design, css, data analysis, git, html, interpersonal communication, javascript (angular), patience, python, technical writing","Master of Science, Bachelor of Science",experienced
machine learning (ml) engineer,"accounting, accounts payable, accounts receivable, administrative, agency, audit report, backup, bank reconciliations, basic, billing, budget preparation, budgets, cash register, cashier, catalog, clerical, client, conferences, contracts, data analysis, database, decision-making, direction, documentation, financial, financial analysis, financial statements, funds, generally accepted accounting principles, generally accepted auditing standards, implementing effective internal controls, interviewing techniques, legal, money, ms office, omb circular a-133, policies, processes, quickbooks, research & data gathering, video",Bachelor Business Administration,experienced
data_analyst,"advanced excel, business intelligence, clustering, dashboards, data analysis, eda, linear regression, logistic regression, machine learning, mis reporting, mongodb, mysql, nosql, power bi, python, sql, statistical analysis","B.A (Economics), M.A (Economics), Correspondence/Distance Learning",experienced
devops engineer,,"M.S., B.S.",experienced
asst. manager/ manger (administrative),"approach, balance sheet, bonds, budgeting, business development, cash flow, clinical research, clinical trials, com, consulting, corporate finance, crm, database, email, english, equities, fast, financial, financials, financing, fundraising, funds, graphical user interface, information systems, innovation, inventory, marketing, network, neural, next, presentations, sales, scientific, spanish, speaker, strategic, strategy, streamline, websites","Master's in Finance, Bachelor of Science",experienced
software_engineer,"32 and 64 slice ct's, 9800, 9900 portable c-arm, apache, aramark service trained on ge 9600, aramark service trained on ge amx 4 and amx4+ portable xr unit, aramark service trained on ge precision 500 radiology and fluoroscopic image system, basic and advanced supervision training courses, cbmet, cisco, foresight imaging systems trained on dicom protocols, linux, microsoft applications, mysql, php, skilled in the operation of ms 2000, skilled in the operation of networks, skilled in the operation of workstations and servers, toshiba certified service trained on aquilion 16, toshiba certified service trained on siemens e-cam nuclear medicine camera, toshiba certified service trained on vantage 1.5 t 8 channel mri, unix, windows 7","AAS, BA, Diploma",experienced
senior ios engineer,"active learning, client relations, computer proficiency, creative problem solving, critical thinking, data collection, data entry, documentation, email, executive management support, filing, internet research, letters and memos, managing multiple priorities, meticulous attention to detail, minute taking, multi-task management, organizational skills, problem resolution, research, results-oriented, scheduling, service orientation, speaking, spreadsheets, travel arrangements",High School Diploma,experienced
devops engineer,"mercurial, python, visual studio code",B.S.,experienced
data_analyst,"cnns, computer management, computer system building and repair, diagnostic software utilities, hardware and software installation, lstms, networking, pytorch, remote access",B.S.,experienced
business development executive,"analysis, ann, bounding algorithms, data science, decision trees, heuristics, hypothesis analysis, machine learning, optimization, svm","B.Sc (Computer Science Engineering), M.Sc (Data Science)",experienced
senior ios engineer,"data analysis, data manipulation, data science, django, machine learning, postgresql, python, r, sql, statistical analysis, statistical modelling, tableau, time series analysis",B.Tech,experienced
marketing,"assisted living, insurance, internal medicine, interpersonal and communication, managing, marketing, meetings, mentor, networking, office, organizing, orthopedics, outside sales, physical therapy, rehabilitation, sales, seminars, team player, time management",B.A,experienced
executive - vat,"10key by touch, articles, automation, closing, coaching, customer service, customer support, designing, direction, forklift and crane certification, hand tools, hardware, inventory, iso 9001, law enforcement, leadership, machinery, material management, materials, mechanical, mechanical test equipment, mechanical theory, ms office, ndt level ii, oral, pc's, personnel, pneumatic and hydraulic theory, processes, procurement, programming, progress, quality, quality control, receiving, repairing, repairs, research, robotic systems, safety, scheduling, self-motivation, shipping, simulation, supervisor, test equipment, troubleshooting, written","General Courses, Technical Diploma",experienced
executive - vat,"business analyst, business intelligence, data modeling, erp implementation, html, power bi, project management, requirement gathering","BBA, MBA",experienced
data_analyst,"conversational ai, machine learning, natural language processing, nltk, numpy, python programming, series analysis, text analysis, transformers",B.Tech,experienced
intern,"artificial intelligence, aws lambda, azure, business analysis, data analyst, data integration, data science, database management, deep learning, machine learning, natural language processing, powerbi, pyspark, python, spark, sql, sql server, tableau","B.Com, MBA",experienced
ai engineer,"access database, excel, ios in sap, outlook, pcard purchases, purchase reqs in sap, royalty agreement tracking, sap time approval, travel arranger, word",Associate of Arts,experienced
network support engineer,"alteryx, customer analytics, data science, data visualization, natural language processing, process improvement, python, r, sql, tableau",B.Tech,experienced
senior ios engineer,"assembly, autocad, automation, budget, budgets, cnc, electronics, layout, machine tools, machinery, market, materials, mathematics, mechanical, networks, packaging, plc, policies, presentations, programming, project management, quality, recording, sales, spreadsheet, team work",General Diploma,experienced
project coordinator (civil),"css, git, html, javascript (angular), oracle), python (django), rest apis (graphql), sql (postgresql",B.S.,experienced
mechanical designer,"abila mip fund accounting software, adp, excel, microsoft office (word, outlook), paychex, payroll experts, power point, quickbooks, quickbooks payroll systems, quickbooks pro, quicken",Bachelor of Science,experienced
executive - vat,"aws, business analytics, cloud infrastructure, data analysis, database management and processing, firebase, gcp, machine learning, python, research analysis, sql, text mining, time series analysis",B.Sc,experienced
intern,"auto cad, cost reduction and avoidance, failure analysis, inspection, know-your-consumer (kyc), lean manufacturing, ms office, process control, process design, quality control, simulation, software systems engineering, statistical process control, system configuration, systems engineering, systems engineering management, tools of operations research","Master of Science, Bachelor of Technology",experienced
hr,"artificial intelligence, business associate, business development, cloud, computer vision, conversational ai, data analytics, m&e, machine learning, nlp, predictive analytics, presales, program management, rfp, sales, telecommunication",B.Tech,experienced
executive/ sr. executive -it,"artificial intelligence, computer vision, data analysis, data science, deep learning, image processing, keras, machine learning, natural language processing, nlp, opencv, pattern recognition, pyspark, python, pytorch, sql",Dual Degree (B.tech + M.Tech)(Chemical),experienced
software_engineer,"clustering, data analytics, data science, data structures, linux, logistic regression, machine learning, python, software developer, software engineer, statistical analysis, unix, visual studio",Bsc (IT),experienced
executive/ sr. executive -it,"artificial intelligence, business analysis, data analysis, data modeling, deep learning, html, machine learning, manual testing, numpy, predictive modeling, python, quality assurance, r, requirement gathering, sql, tensorflow",B.Tech,experienced
business development executive,"excellent communication, inspecting, modems, processes, scheduling, team lead, technician, trainer, troubleshooting",Bachelor of Science,experienced
machine learning (ml) engineer,"access, assembly, atm, ca, cadence, calibration, dc, de-bugging, ethernet, graphic, hardware, iso 9000, labview, layout, linux os, logic, mentor, ms office, multimeters, network, networking, orcad, oscilloscopes, power supplies, procurement, purchasing, quality assurance, routers, schematics, signal generators, sonet, switches, t1, test equipment, trouble shooting, troubleshooting, validation, view, windows",Associate Degree,experienced
machine learning (ml) engineer,"business analysis, deep learning, keras, machine learning, natural language processing, numpy, pandas, pyspark, python, scikit learn, tensorflow",B.Tech,experienced
data_analyst,"agile, analyst, apple, automation, banking, budgets, business plan, camera, client, closing, com, consulting, content, contracts, credit, customer satisfaction, data migration, database administration, developer, driving, e-commerce, encryption, features, financial, hiring, imaging, information technology, insurance, interpretation, inventory, managing, market, market planning, marketing, marketing and sales, messaging, net, new product development, office, order management, photo, policies, presenting, pricing, procurement, product development, product management, product manager, product marketing, program management, qa, quality, quality assurance, radio, real-time, receiving, retail, sales, sales management, shipping, software development, stories, strategy, supply chain, technical support, television, ui design, upgrades, utilities, venture capital, vision, workflow, year-end","Master of Science, Bachelor of Science",experienced
management trainee - mechanical,"analytics, data analysis, data analytics, data cleaning, data preparation, excel, machine learning, pivot table, postgresql, powerbi, predictive modeling, python, sql, webscrapping, xml",Bachelor of Science,experienced
asst. manager/ manger (administrative),"anova, cluster analysis, correlation analysis, data analysis, data mining, decision tree, excel, linear regression, logistic regression, machine learning, mysql, natural language processing, neural networks, principal component analysis, python, r, spss, tableau","BSc(CA), MSc(CA)",experienced
asst. manager/ manger (administrative),"2k, 3d, accountant, accounting, accounts receivables, adobe illustrator, adobe photoshop, audio editing, auditing, banking, book, budget preparation, clients, contracts, cost analysis, credit, debit, dec, developer 2000, documentation, dos, finance, financial, financial management, hr, inspection, inventory, inventory control, macro media director, mis, modeling, ms office, oracle, oracle 8i, pagemaker, payroll, policies, preparation of financial statements, reporting, sales, senior management, tax, video editing, windows 9.x, works",MBA,experienced
data_analyst,"access, c programming, excel, html 5, java, python, sql",Bachelor of Science,experienced
marketing,"3d modeling, 3dsmax, architectural drafting, autocad, carpentry, detail oriented, drafting, email, floor plans, frame, mechanical, messaging, microsoft office applications, multi-tasking, painting, problem solving skills, read blueprints, reading, renovation, revit, self-motivated, supervisor",A.A.S,experienced
data_analyst,"advanced excel, business analytics, machine learning, powerbi, predictive analytics, python, r, requirement analysis, sql, tableau",B.CA,experienced
intern,"accounting, accounts payable, accounts receivable, adp, advertising, ar, balance, balance sheet, bank reconciliations, benefits, billing, billings, book keeping, budget, cash flow, cash flow projections, clients, coding, controller, credit, data collection, dba, delivery, documentation, email, excel, express, finance, financial, financial reporting, financial statements, fixed assets, general ledger, inventory, job costing, ledger, legal, materials, meetings, microsoft access, microsoft excel, microsoft word, negotiating, payables, payroll, peachtree, processes, purchasing, quick books, quickbooks, research, sage, sales, software support, spreadsheet, tax, valuation, year-end","Bachelor of Science, Bachelor of Science",experienced
data_analyst,"driver booster, dvd, falcon dust-off compressed gas duster, fluke 115 compact true-rms digital multimeter, ifixit pro tech toolkit, malwarebytes, passmark memtest86, recuva, teamviewer, ultimate boot cd (ubcd), windows installation usb",Associate of Applied Science,experienced
intern,"balanced, experienced manager, motivated, seasoned leadership",Bachelor of Arts Degree,experienced
devops engineer,"big data analytics, data analyst, data analytics, data scientist, deep learning, flask, machine learning, mongodb, natural language processing, python, sql, text mining","B.Tech, Diploma",experienced
executive - vat,"c++, python, pytorch, r, snowflake, sql, tableau",B.S.,experienced
devops engineer,"algorithm design, css, data analysis, git, html, interpersonal communication, javascript (angular), patience, python, technical writing","Master of Science, Bachelor of Science",experienced
devops engineer,"brake repair and replacement, brake systems expertise, critical thinker, customer service, decisive, dexterous with hand tools, diagnosis and repair, documentation, excellent problem solver, forklift, forms, legal, materials, mechanically-inclined, policies, preventative maintenance, problem solving skills, progress, quality assurance, read, repairs, responsible and reliable, safety, self-starter, skilled concrete finisher, strategic thinker, strong attention to detail, struts, supervisor, suspension and alignment, tear, troubleshooting",Diploma,experienced
data_analyst,"artificial intelligence, business analysis, data analysis, data modeling, deep learning, html, machine learning, manual testing, numpy, predictive modeling, python, quality assurance, r, requirement gathering, sql, tensorflow",B.Tech,experienced
data_analyst,"artificial intelligence, docker, machine learning, natural language processing, numpy, pandas, python, spacy, sql, tensorflow",Integrated B.E. and M.Sc Hons.,experienced
software_engineer,".net, c, c#, data management, image processing, machine learning, natural language processing, python, scikit learn, software development, sql, text analysis",B.Tech,experienced
software_engineer,"application development, c++, data modelling, data processing, data structures, deep learning, django, flask, kubernetes, machine learning engineer, python",B.TECH,experienced
intern,"autocad, budgeting, cad, construction management, dmf and project work process, engineer, excel, facility and plant modifications, film, hiring, inspection, laser, machinery, managing, mechanical, negotiations, paper converting equipment, process improvement, processes, project management, quality, simulation, spc, strategy, supervision, system administrator, written and verbal communication skills",Bachelor of Science,experienced
project coordinator (civil),"active learning, client relations, computer proficiency, creative problem solving, critical thinking, data collection, data entry, documentation, email, executive management support, filing, internet research, letters and memos, managing multiple priorities, meticulous attention to detail, minute taking, multi-task management, organizational skills, problem resolution, research, results-oriented, scheduling, service orientation, speaking, spreadsheets, travel arrangements",High School Diploma,experienced
network support engineer,"artificial intelligence, computer vision, data analysis, data science, deep learning, keras, machine learning, matlab, nlp, python, pytorch, rnn","B.Tech, M.Tech",experienced
executive/ sr. executive -it,"cost reduction, experience with autocad, iso9001 and as9100 auditing, microsoft office, process development and documentation, process improvement, production and engineering management, project management, quality management system implementation, simplification, source evaluation and selection, staff development, various erp systems",Bachelor of Science,experienced
software_engineer,"access, ap, ar, bank reconciliations, billings, budgets, cash flow projections, excel, financial statements, government contracting, great plains, jde, labview, matlab, peachtree, proactive, quickbooks, self-motivated, team player, word","Master of Science, M. Eng, Bachelor of Science",experienced
mechanical engineer,"chain management, defect detection, embedded software development, embedded systems, machine learning, project management, unit testing",B.Tech,experienced
data_analyst,"army, basic, bridges, inspection, inspects, marconi, multi-meters, office, oscilloscopes, personnel, radar, radio, read, safety, signal generators, telephone, troubleshooting, vhf",Diploma,experienced
mechanical engineer,"catboost, classification, data science, decision trees, deep learning, loss optimization, machine learning, matplotlib, numpy, opencv, pandas, python, random forest, regression, scikit learn, xgboost",B.Tech,experienced
executive - vat,"account management, contract negotiations, customer relationship management, customer service, financials budgeting & forecasting, jdm, key account management, new business development, npi, odm, p & l management, pcb, pricing proposal development, sales, strategic planning",Bachelor of Science,experienced
marketing,"data entry, employee training, equipment maintenance, erp : microsoft ax dynamics, failure analysis, inspection, lean manufacturing, mechanical processes, protocols execution, supervisory, system integration, team player, troubleshooting",Diploma,experienced
intern,"accounting, billing, change management, client relations, contracts, database, delivery, eclipse, finance, financial reporting, financial statements, front office, hiring, instructional design, instructor, leadership training, logistics, managing, microsoft office suite, needs analysis, payables, peoplesoft, peoplesoft finance applications, peoplesoft hrms, personnel, program management, project management, project plans, teaching, training design and development, training material, training materials, training programs, upgrade, videoscribe software, view","Master of Science, Bachelor of Science, Bachelor of Science",experienced
marketing,"base sas, business analysis, credit risk, data analysis, data science, data visualization, machine learning, nlp, power bi, python, r, regression analysis, sql, statistical analysis, tableau, time series analysis","B.CA, M.CA",experienced
hr,,"Ph.D., M.S.",experienced
intern,"5s, anova, auto-cad, c, c++, discrete control system (dcs), dmaic, failure modes and effective analysis (fmea), gage r & r, kaizen, lean manufacturing, microsoft office, minitab, pfmea, pro-e, process capability, programmable logic controls (plc), root cause analysis, statistical process control, value stream mapping, visual basics","Master of Science, Bachelor of Engineering",experienced
civil engineer,"a, account reconciliations, accountant, accounting, accounts and, accounts for, and account, as400, audit, automated payroll, balance sheet, balance sheets, bank reconciliations, bookkeeper, bookkeeping, business management, cash, clerical, clients, contracts, cpa, excel, financial statements, g, general ledger, inventory, invoice, its, job costing, journal, l, office administration, office management, office manager, operations, outlook, p, payroll, payroll processing, peachtree, peachtree accounting, powerpoint, process payroll, progress, quickbooks, r, reconciliations, reconciling, restaurant manager, scheduling, secretary, state tax, tax returns, timberline, timberline software, training, typing, word","A.A., Diploma",experienced
business development executive,"2-tier, account reconciliations, accounting, accounts payable, accounts receivables, accruals, ad hoc, advanced excel, ap, atlas, balance, balance sheet, bank reconciliations, billing, bookkeeping, budget, budgeting, business objects, charts, cpa, databases, excellent written, finance, financial analysis, financial reporting, financial reports, financial statements, fixed assets, fluent in english, forecasting, general ledger, general ledger accounts, government, graphs, harvard graphics, jde, lotus notes, microsoft office, ms access, nanovision, ngs systems, oral communication, people soft, phoenix (e1), powerpoint, presentations, quickbooks, quicken, reporting, sap, sarbanes oxley, senior management, sox compliance, spanish, tax, variance analysis, windows 95 - xp","Master of Business Administration, Bachelor of Science",experienced
mechanical engineer,"deep learning, emperical modelling, k-means clustering, logistic regression, lstm, machine learning",B.Tech(Computers),experienced
senior ios engineer,"automation tools, business processes, c, chemistry, client, crm, developer, english, event management, functional, hp, hp alm quality center, hp qtp, image, machinery, mathematics, ms office, oil, physics, programming, progress, project management, python, quality, quality assurance, quick test professional, r, simulation, sql, streak crm, tableau, team lead, trello, vb script","B.E, Class XII",fresher
"system administrator (operation & maintenance of server, storage & service desk system)","army, basic, bridges, inspection, inspects, marconi, multi-meters, office, oscilloscopes, personnel, radar, radio, read, safety, signal generators, telephone, troubleshooting, vhf",Diploma,experienced
ai engineer,"access, accounts payable, accounts payables, accounts receivable, accounts receivables, administrative functions, banking, bi, budget, clients, closing, computer applications, credit, customer service, data entry, delivery, driving, email, enterprise, excel, insurance, inventory, ledger, mortgage loan, outlook, phone, policies, powerpoint, quickbooks, sales, sales reports, telecommunications, trial balance, word, workflow, written",Computer Applications Specialist Certificate Program,experienced
hr,"air force, budget, cmpro, communication, conflict management, continuous improvement, dc, delivery, doors, drawing, electrical engineering, electrical systems, engineer, estimating, functional, hardware, hardware design, ibm, ibm rationale doors, leadership, leadership development, materials, mechanical, mechanical engineering, microsoft office, microsoft project, microsoft visio, navy, peer review, power distribution, power supplies, presentations, process improvement, procurement, producing, project management, project planning, proposals, quality, risk analysis, schematics, senior management, siemens, software engineering, staffing, systems engineering, team leadership, video","Master of Business Administration, Bachelor of Science, Project Management Graduate Certificate",experienced
hr,"algorithms, data analytics, data manipulation, data mining, deep learning, java, jenkins, machine learning, python, quality control, selenium, sql",B.Tech,experienced
